"d(N,RE)","d(N,LE)","d(N,RM)","d(N,LM)","d(N,F)"
52.04377131,36.73772465,43.98822758,34.11798448,106.0249381
46.62573635,31.89585454,37.61557543,28.92446435,111.1125542
43.2266872,33.94915247,35.77477319,31.11640383,108.2635505
46.18313023,35.66714943,35.22495409,30.23487335,106.320584
46.01954299,29.88474526,40.88324358,33.23028897,107.8728125
46.19784414,35.33625962,37.49122395,32.85190941,103.8338349
43.4168635,36.14854298,35.13995089,32.50638068,105.972296
46.19528535,37.73474225,40.51287514,33.47537786,105.5615745
44.07724395,38.38647985,36.73914781,30.36131416,104.7831021
45.21067465,39.18309715,39.59800294,36.37240488,103.6351774
43.86326323,34.0335531,42.1681481,33.67297141,98.19591996
49.26274573,34.09880347,45.11429139,36.72128167,102.0755857
48.08900359,35.70394114,39.85568101,34.88084169,102.0226866
46.57970905,36.64896328,44.71329737,36.29287142,102.0084803
47.26595898,34.3335057,44.76012986,33.54601001,103.999405
47.03754672,40.24786269,49.29232236,41.17034815,102.3581939
46.17357429,35.83251379,41.85260169,37.89550476,103.3566269
45.78826201,35.49668912,41.48736086,36.64045191,100.8211771
42.36712837,33.65715197,37.07449953,31.79648201,104.7950615
45.54067631,36.28162882,37.78472891,31.11997747,106.8875732
45.24455707,37.34421344,38.55348706,34.83673944,106.2467427
46.3870981,37.79125415,35.30958129,30.41016567,105.292725
47.67379545,40.48628311,35.56402175,32.73070607,107.1887358
44.78015555,38.77732214,33.04096313,30.1979471,104.1617594
44.67697736,41.15451646,36.70482563,32.24490152,101.9916277
46.77414402,47.82114921,30.35731953,30.26670745,95.81395867
38.44297584,48.18769995,27.80175318,31.64176258,86.40710677
36.37541714,50.27134838,27.58355795,32.08253603,86.33553097
29.91317279,53.65011837,24.6359461,32.17099475,75.97726419
31.17445274,58.05320167,29.76480596,46.85822952,76.71731712
33.9875818,57.35039795,26.97034016,41.04885517,82.90297692
39.60595859,50.72894928,30.36289949,36.57243034,92.32365582
42.94142671,49.82061794,31.70893672,37.60329735,94.04623647
42.46703099,46.43890439,30.763144,33.19030194,95.33706877
40.76899939,42.58343302,35.7383279,34.20047551,98.88586504
42.58468455,44.11118582,34.23600922,32.54240676,102.7080277
45.60308653,39.84110454,36.03583358,28.47591947,105.6768241
44.78607769,39.80984684,36.47657558,28.75972729,102.2186364
48.09973503,40.74378553,37.6217434,27.94554973,108.6144004
48.21785887,40.74195538,38.28923847,28.04236838,110.0008141
44.4682916,38.61189415,38.99707877,28.01787231,108.8851433
47.1134322,41.18373509,37.46129953,28.33610323,110.1942664
47.43762457,40.53688146,37.63885304,28.11029646,107.2239801
43.83439848,35.83172719,39.80385386,29.53980016,105.2556175
